dataset,model,task_id,step_idx,action_parsed,plan_len_before,plan_len_after,y_tier_b,b_reason,replay_diverged,obs_match
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,3,examine bowl 1 from desk 1,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,4,take bowl 1 from desk 1,3,2,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,5,examine bowl 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,6,examine bowl 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,7,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,8,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,9,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,10,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,11,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,12,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,13,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,14,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,15,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,16,examine bowl 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,17,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,18,examine bowl 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,19,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,20,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,21,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,22,examine bowl 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,23,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,24,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,25,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,26,inventory,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,27,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,28,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,29,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,30,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,31,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,32,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,33,examine bowl 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,34,examine bowl 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,35,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,36,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,37,examine bowl 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,38,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,39,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,40,examine bowl 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,41,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,42,examine bowl 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,43,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,44,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,45,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,46,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,47,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,48,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-301/trial_T20190909_150719_492274,49,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,1,go to desk 1,3,2,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,2,use desklamp 1,2,1,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,3,examine desk 1,1,1,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,4,examine desk 1,1,1,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,5,examine desk 1,1,1,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,6,examine desk 1,1,1,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,7,examine desk 1,1,1,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,8,examine desk 1,1,1,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,9,examine desk 1,1,1,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Bowl-None-DeskLamp-316/trial_T20190908_230702_962704,10,take bowl 1 from desk 1,1,0,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,1,go to sidetable 1,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,2,go to sidetable 2,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,3,go to sofa 1,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,4,go to sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,5,examine sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,6,examine sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,7,examine sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,8,look,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,9,examine sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,10,examine sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,11,examine sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,12,examine sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,13,examine sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,14,look,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,15,examine sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,16,examine sidetable 3,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,17,use desklamp 1,4,3,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,18,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,19,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,20,look,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,21,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,22,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,23,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,24,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,25,look,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,26,look,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,27,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,28,look,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,29,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,30,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,31,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,32,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,33,look,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,34,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,35,look,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,36,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,37,look,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,38,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,39,look,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,40,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,41,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,42,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,43,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,44,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,45,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,46,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,47,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,48,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-Box-None-DeskLamp-205/trial_T20190907_074425_330493,49,examine sidetable 3,3,3,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,1,go to desk 1,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,2,examine desk 1,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,3,look,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,4,look,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,5,go to shelf 1,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,6,go to sidetable 1,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,7,go to desk 1,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,8,look,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,9,go to shelf 2,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,10,examine shelf 2,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,11,go to desk 1,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,12,look,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,13,go to shelf 3,4,3,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,14,go to desk 1,3,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,15,look,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,16,go to shelf 4,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,17,go to desk 1,4,4,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,18,go to shelf 3,4,3,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,19,take cd 1 from shelf 3,3,2,0,B1_plan_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,20,examine cd 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,21,go to desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,22,examine cd 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,23,examine cd 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,24,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,25,look,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,26,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,27,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,28,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,29,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,30,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,31,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
alfworld,Llama-3.3-70B-Instruct,look_at_obj_in_light-CD-None-DeskLamp-302/trial_T20190907_154618_526741,32,examine desk 1,2,2,1,B1_plan_not_shortened,0,1
