variant,judge,dataset,target,construct,n_scores,mean_u,slope,intercept,reference_targets,pi_hat,cut,ba_hat,ba_lo,ba_hi,extrapolation,eval_construct,n,n_pos,n_neg,realised_pct,ba_at_cut,ba_star,V,note
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0,violation+judgment,3754,2194,1560,0.459510,0.695826,0.700259,0.691681,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0,violation+judgment,3859,1878,1981,0.464110,0.701781,0.716583,0.712129,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1,violation+judgment,763,763,0,,,,,single class under this construct
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0,violation+judgment,3754,2194,1560,0.459510,0.695826,0.700259,0.691681,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0,violation+judgment,3859,1878,1981,0.464110,0.701781,0.716583,0.712129,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1,violation+judgment,763,763,0,,,,,single class under this construct
h,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.360614,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.591845,0.434824,0.812385,0.771574,0.836489,0,violation+judgment,1914,390,1524,0.693312,0.835650,0.841980,0.836700,
h,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.321124,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.612752,0.376683,0.804346,0.764977,0.833321,0,violation+judgment,1202,259,943,0.659734,0.820555,0.829420,0.805846,
h-noself,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.360614,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.591845,0.434824,0.812385,0.771574,0.836489,0,violation+judgment,1914,390,1524,0.693312,0.835650,0.841980,0.836700,
h-noself,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.321124,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.612752,0.376683,0.804346,0.764977,0.833321,0,violation+judgment,1202,259,943,0.659734,0.820555,0.829420,0.805846,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0,judgment,3475,1823,1652,0.506763,0.714938,0.716829,0.695193,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0,judgment,3663,1617,2046,0.569206,0.704037,0.707269,0.671105,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1,judgment,0,0,0,,,,,single class under this construct
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0,judgment,3475,1823,1652,0.506763,0.714938,0.716829,0.695193,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0,judgment,3663,1617,2046,0.569206,0.704037,0.707269,0.671105,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1,judgment,0,0,0,,,,,single class under this construct
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0,judgment,1912,388,1524,0.678870,0.817748,0.838549,0.765366,
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0,judgment,1136,191,945,0.734155,0.817147,0.824834,0.709230,
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0,judgment,1912,388,1524,0.678870,0.817748,0.838549,0.765366,
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0,judgment,1136,191,945,0.734155,0.817147,0.824834,0.709230,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0,judgment,3475,1823,1652,0.457266,0.718589,0.723618,0.714859,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0,judgment,3663,1617,2046,0.530713,0.722829,0.735367,0.731397,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1,judgment,0,0,0,,,,,single class under this construct
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0,judgment,3475,1823,1652,0.457266,0.718589,0.723618,0.714859,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0,judgment,3663,1617,2046,0.530713,0.722829,0.735367,0.731397,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1,judgment,0,0,0,,,,,single class under this construct
h,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.360614,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.591845,0.434824,0.812385,0.771574,0.836489,0,judgment,1912,388,1524,0.693515,0.836648,0.842885,0.837612,
h,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.321124,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.612752,0.376683,0.804346,0.764977,0.833321,0,judgment,1136,191,945,0.693662,0.811914,0.819377,0.786570,
h-noself,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.360614,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.591845,0.434824,0.812385,0.771574,0.836489,0,judgment,1912,388,1524,0.693515,0.836648,0.842885,0.837612,
h-noself,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.321124,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.612752,0.376683,0.804346,0.764977,0.833321,0,judgment,1136,191,945,0.693662,0.811914,0.819377,0.786570,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0,violation,2541,1975,566,0.432507,0.703414,0.705945,0.671246,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0,violation,2100,1515,585,0.240000,0.674139,0.709224,0.622865,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1,violation,1404,763,641,0.323362,0.657567,0.739307,0.561882,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0,violation,2541,1975,566,0.432507,0.703414,0.705945,0.671246,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0,violation,2100,1515,585,0.240000,0.674139,0.709224,0.622865,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1,violation,1404,763,641,0.323362,0.657567,0.739307,0.561882,
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0,violation,339,171,168,0.498525,0.950031,0.961675,0.891708,
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0,violation,318,138,180,0.550314,0.943478,0.966908,0.822222,
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0,violation,339,171,168,0.498525,0.950031,0.961675,0.891708,
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0,violation,318,138,180,0.550314,0.943478,0.966908,0.822222,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0,violation,2541,1975,566,0.383707,0.701836,0.721426,0.715409,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0,violation,2100,1515,585,0.254286,0.672903,0.717094,0.699653,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1,violation,1404,763,641,0.391738,0.641056,0.746729,0.670359,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0,violation,2541,1975,566,0.383707,0.701836,0.721426,0.715409,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0,violation,2100,1515,585,0.254286,0.672903,0.717094,0.699653,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1,violation,1404,763,641,0.391738,0.641056,0.746729,0.670359,
h,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.360614,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.591845,0.434824,0.812385,0.771574,0.836489,0,violation,339,171,168,0.486726,0.967523,0.973371,0.964756,
h,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.321124,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.612752,0.376683,0.804346,0.764977,0.833321,0,violation,318,138,180,0.578616,0.952657,0.959903,0.942874,
h-noself,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.360614,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.591845,0.434824,0.812385,0.771574,0.836489,0,violation,339,171,168,0.486726,0.967523,0.973371,0.964756,
h-noself,Qwen3.6-35B-A3B,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.321124,-0.529429,0.782764,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;gemma-3-4b-it,0.612752,0.376683,0.804346,0.764977,0.833321,0,violation,318,138,180,0.578616,0.952657,0.959903,0.942874,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0,outcome,3811,3105,706,0.357911,0.639093,0.650653,0.615205,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0,outcome,3850,3151,699,0.272727,0.593361,0.627046,0.559128,
h,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1,outcome,2991,2239,752,0.264794,0.573704,0.665983,0.520950,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-4B,violation+judgment,4113,0.344398,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.505982,0.002473,0.725768,0.700019,0.745484,0,outcome,3811,3105,706,0.357911,0.639093,0.650653,0.615205,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-9B,violation+judgment,4265,0.252246,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.550752,0.000335,0.719597,0.693654,0.736357,0,outcome,3850,3151,699,0.272727,0.593361,0.627046,0.559128,
h-noself,Llama-3.3-70B-Instruct,alfworld,Qwen3.5-27B,violation+judgment,3241,0.077235,-0.485829,0.673300,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;deepseek-v4-flash;gemma-3-4b-it,0.635777,0.000008,0.693153,0.664044,0.718043,1,outcome,2991,2239,752,0.264794,0.573704,0.665983,0.520950,
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0,outcome,1279,1111,168,0.261142,0.694840,0.843063,0.599808,
h,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0,outcome,1231,1051,180,0.290820,0.685997,0.807953,0.574997,
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-4B,violation+judgment,2371,0.154629,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.706018,0.000123,0.765321,0.715198,0.804832,0,outcome,1279,1111,168,0.261142,0.694840,0.843063,0.599808,
h-noself,Llama-3.3-70B-Instruct,hotpotqa,Qwen3.5-9B,violation+judgment,2296,0.116137,-0.630410,0.803498,Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;Qwen3.6-35B-A3B;gemma-3-4b-it,0.730283,0.000035,0.754988,0.701948,0.796861,0,outcome,1231,1051,180,0.290820,0.685997,0.807953,0.574997,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0,outcome,3811,3105,706,0.273944,0.644433,0.663936,0.656986,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-9B,violation+judgment,4265,0.512417,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.578871,0.622313,0.751503,0.715983,0.775207,0,outcome,3850,3151,699,0.208571,0.589102,0.632154,0.600840,
h,Qwen3.6-35B-A3B,alfworld,Qwen3.5-27B,violation+judgment,3241,0.370596,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.708891,0.562051,0.696473,0.651450,0.734626,1,outcome,2991,2239,752,0.162153,0.583937,0.680360,0.597691,
h-noself,Qwen3.6-35B-A3B,alfworld,Qwen3.5-4B,violation+judgment,4113,0.562662,-0.916785,1.048647,Llama-3.3-70B-Instruct;Mistral-7B-Instruct-v0.3;Phi-4-mini-instruct;deepseek-v4-flash;gemma-3-4b-it,0.532807,0.650392,0.764372,0.731981,0.785168,0,outcome,3811,3105,706,0.273944,0.644433,0.663936,0.656986,
