env,judge,class,target_a,target_b,w1
alfworld,Qwen3.6-35B-A3B,incorrect_SELF,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,3.2269
alfworld,Qwen3.6-35B-A3B,incorrect_SELF,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,3.4947
alfworld,Qwen3.6-35B-A3B,incorrect_SELF,Qwen3.6-35B-A3B,Phi-4-mini-instruct,4.6869
alfworld,Qwen3.6-35B-A3B,incorrect_SELF,Qwen3.6-35B-A3B,deepseek-v4-flash,1.2730
alfworld,Qwen3.6-35B-A3B,incorrect_SELF,Qwen3.6-35B-A3B,gemma-3-4b-it,4.5045
hotpotqa,Llama-3.3-70B-Instruct,correct,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,1.5386
hotpotqa,Llama-3.3-70B-Instruct,correct,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,3.7003
hotpotqa,Llama-3.3-70B-Instruct,correct,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,1.7230
hotpotqa,Llama-3.3-70B-Instruct,correct,Phi-4-mini-instruct,Qwen3.6-35B-A3B,2.1617
hotpotqa,Llama-3.3-70B-Instruct,correct,Phi-4-mini-instruct,gemma-3-4b-it,0.3533
hotpotqa,Llama-3.3-70B-Instruct,correct,Qwen3.6-35B-A3B,gemma-3-4b-it,1.9773
hotpotqa,Llama-3.3-70B-Instruct,incorrect,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.3442
hotpotqa,Llama-3.3-70B-Instruct,incorrect,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,9.5167
hotpotqa,Llama-3.3-70B-Instruct,incorrect,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0.4895
hotpotqa,Llama-3.3-70B-Instruct,incorrect,Phi-4-mini-instruct,Qwen3.6-35B-A3B,9.3776
hotpotqa,Llama-3.3-70B-Instruct,incorrect,Phi-4-mini-instruct,gemma-3-4b-it,0.1566
hotpotqa,Llama-3.3-70B-Instruct,incorrect,Qwen3.6-35B-A3B,gemma-3-4b-it,9.4384
hotpotqa,Llama-3.3-70B-Instruct,correct_SELF,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,3.0392
hotpotqa,Llama-3.3-70B-Instruct,correct_SELF,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,1.5006
hotpotqa,Llama-3.3-70B-Instruct,correct_SELF,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,0.6611
hotpotqa,Llama-3.3-70B-Instruct,correct_SELF,Llama-3.3-70B-Instruct,gemma-3-4b-it,1.3163
hotpotqa,Llama-3.3-70B-Instruct,incorrect_SELF,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,6.2203
hotpotqa,Llama-3.3-70B-Instruct,incorrect_SELF,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,6.0812
hotpotqa,Llama-3.3-70B-Instruct,incorrect_SELF,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,3.2964
hotpotqa,Llama-3.3-70B-Instruct,incorrect_SELF,Llama-3.3-70B-Instruct,gemma-3-4b-it,6.1420
hotpotqa,Qwen3.6-35B-A3B,correct,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,1.1693
hotpotqa,Qwen3.6-35B-A3B,correct,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,0.4396
hotpotqa,Qwen3.6-35B-A3B,correct,Llama-3.3-70B-Instruct,gemma-3-4b-it,0.1644
hotpotqa,Qwen3.6-35B-A3B,correct,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.7296
hotpotqa,Qwen3.6-35B-A3B,correct,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,1.0677
hotpotqa,Qwen3.6-35B-A3B,correct,Phi-4-mini-instruct,gemma-3-4b-it,0.3506
hotpotqa,Qwen3.6-35B-A3B,incorrect,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,1.7186
hotpotqa,Qwen3.6-35B-A3B,incorrect,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,1.9165
hotpotqa,Qwen3.6-35B-A3B,incorrect,Llama-3.3-70B-Instruct,gemma-3-4b-it,1.9337
hotpotqa,Qwen3.6-35B-A3B,incorrect,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,0.2498
hotpotqa,Qwen3.6-35B-A3B,incorrect,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,0.3777
hotpotqa,Qwen3.6-35B-A3B,incorrect,Phi-4-mini-instruct,gemma-3-4b-it,0.1890
hotpotqa,Qwen3.6-35B-A3B,correct_SELF,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.8805
hotpotqa,Qwen3.6-35B-A3B,correct_SELF,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,2.0497
hotpotqa,Qwen3.6-35B-A3B,correct_SELF,Qwen3.6-35B-A3B,Phi-4-mini-instruct,1.3201
hotpotqa,Qwen3.6-35B-A3B,correct_SELF,Qwen3.6-35B-A3B,gemma-3-4b-it,0.9820
hotpotqa,Qwen3.6-35B-A3B,incorrect_SELF,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,0.8000
hotpotqa,Qwen3.6-35B-A3B,incorrect_SELF,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,2.5142
hotpotqa,Qwen3.6-35B-A3B,incorrect_SELF,Qwen3.6-35B-A3B,Phi-4-mini-instruct,2.7136
hotpotqa,Qwen3.6-35B-A3B,incorrect_SELF,Qwen3.6-35B-A3B,gemma-3-4b-it,2.7299
