dataset,target,assessor,arm,scope,n,auroc
alfworld,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,6445,0.589769
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,SPLIT-thought,6445,0.535575
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,SPLIT-action,6445,0.488868
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-mean,6445,0.504997
alfworld,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,6445,0.480071
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,6445,0.687722
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,6445,0.813681
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-mean,6445,0.763056
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,6445,0.802902
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-thought,6445,0.468946
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-action,6445,0.527203
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-mean,6445,0.508750
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,6445,0.432850
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,SPLIT-thought,3981,0.638083
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,SPLIT-action,3981,0.657907
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,AGG-mean,3981,0.652777
alfworld,Qwen3.5-4B,Qwen3.5-4B,self,AGG-true,3981,0.625188
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,SPLIT-thought,4024,0.692400
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,SPLIT-action,4024,0.713127
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,AGG-mean,4024,0.707353
alfworld,Qwen3.5-9B,Qwen3.5-9B,self,AGG-true,4024,0.666959
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,SPLIT-thought,3110,0.759929
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,SPLIT-action,3110,0.824028
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-mean,3110,0.816289
alfworld,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,3110,0.757826
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,3110,0.575914
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,3110,0.631510
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-mean,3110,0.626163
alfworld,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,3110,0.578549
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,SPLIT-thought,3110,0.508496
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,SPLIT-action,3110,0.574375
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-mean,3110,0.538875
alfworld,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,3110,0.448450
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,SPLIT-thought,3110,0.689012
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,SPLIT-action,3110,0.700994
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-mean,3110,0.707503
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,3110,0.695987
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,SPLIT-thought,3110,0.409486
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,SPLIT-action,3110,0.636243
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-mean,3110,0.588458
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,3110,0.574322
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,SPLIT-thought,3016,0.816391
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,SPLIT-action,3016,0.862137
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-mean,3016,0.866255
alfworld,deepseek-v4-flash,Llama-3.3-70B-Instruct,cross,AGG-true,3016,0.828164
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,3016,0.563778
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,3016,0.640208
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-mean,3016,0.622897
alfworld,deepseek-v4-flash,Mistral-7B-Instruct-v0.3,cross,AGG-true,3016,0.584682
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,SPLIT-thought,3016,0.530850
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,SPLIT-action,3016,0.550835
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-mean,3016,0.539062
alfworld,deepseek-v4-flash,Phi-4-mini-instruct,cross,AGG-true,3016,0.486624
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,SPLIT-thought,3016,0.825911
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,SPLIT-action,3016,0.849301
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-mean,3016,0.852371
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-true,3016,0.851603
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,SPLIT-thought,3016,0.761017
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,SPLIT-action,3016,0.712727
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-mean,3016,0.744967
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-true,2150,0.727531
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,SPLIT-thought,3016,0.345634
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,SPLIT-action,3016,0.556086
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-mean,3016,0.498934
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-true,3016,0.520388
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,SPLIT-thought,6730,0.769558
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,SPLIT-action,6730,0.890074
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-mean,6730,0.845261
alfworld,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,6730,0.863311
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,6730,0.654086
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,6730,0.709855
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-mean,6730,0.668078
alfworld,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,6730,0.704682
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,SPLIT-thought,6730,0.609690
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,SPLIT-action,6730,0.617024
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-mean,6730,0.613204
alfworld,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,6730,0.527232
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,SPLIT-thought,6730,0.772065
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,SPLIT-action,6730,0.908484
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-mean,6730,0.856119
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,6730,0.885892
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,SPLIT-thought,6730,0.458872
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,SPLIT-action,6730,0.646239
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-mean,6730,0.561103
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,6730,0.480211
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-thought,1163,0.682338
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,SPLIT-action,1163,0.797922
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-mean,1163,0.776157
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,1163,0.800909
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,1163,0.563197
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,1163,0.676857
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,1163,0.637173
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,1163,0.655318
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-thought,1163,0.608182
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,SPLIT-action,1163,0.681312
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-mean,1163,0.653607
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,1163,0.651624
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,1163,0.708539
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,1163,0.787523
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-mean,1163,0.767440
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,1163,0.780735
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-thought,1163,0.562568
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,SPLIT-action,1163,0.569594
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-mean,1163,0.534027
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,1163,0.657007
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-thought,2375,0.682911
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,SPLIT-action,2375,0.855636
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-mean,2375,0.808701
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,2375,0.825389
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-thought,2375,0.500335
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,SPLIT-action,2375,0.687145
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-mean,2375,0.570662
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,2375,0.634330
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,SPLIT-thought,2375,0.452124
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,SPLIT-action,2375,0.494501
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-mean,2375,0.465860
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,2375,0.467848
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,SPLIT-thought,2375,0.699629
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,SPLIT-action,2375,0.797823
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-mean,2375,0.772458
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,2375,0.783258
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,SPLIT-thought,2375,0.543920
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,SPLIT-action,2375,0.626767
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-mean,2375,0.551273
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,2375,0.620062
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,SPLIT-thought,1885,0.693196
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,SPLIT-action,1885,0.905064
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-mean,1885,0.860662
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,1885,0.871494
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,1885,0.530074
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,1885,0.705664
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-mean,1885,0.602877
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,1885,0.663822
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,SPLIT-thought,1885,0.505379
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,SPLIT-action,1885,0.557328
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-mean,1885,0.535192
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,1885,0.532924
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,SPLIT-thought,1885,0.685760
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,SPLIT-action,1885,0.880322
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-mean,1885,0.807766
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,1885,0.858010
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-thought,1885,0.564315
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,SPLIT-action,1885,0.596776
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-mean,1885,0.527929
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,1885,0.694383
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,SPLIT-thought,1375,0.706387
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,SPLIT-action,1375,0.770596
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,AGG-mean,1375,0.755458
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,AGG-true,1375,0.747694
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,SPLIT-thought,1092,0.686920
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,SPLIT-action,1092,0.765229
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,AGG-mean,1092,0.734372
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,AGG-true,1092,0.759139
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,SPLIT-thought,1114,0.717142
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,SPLIT-action,1114,0.777564
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-mean,1114,0.752277
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,1114,0.785071
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,1114,0.604855
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,1114,0.743839
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-mean,1114,0.674330
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,1114,0.730106
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,SPLIT-thought,1114,0.631619
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,SPLIT-action,1114,0.630534
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-mean,1114,0.626766
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,1114,0.616862
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,SPLIT-thought,1114,0.752044
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,SPLIT-action,1114,0.767403
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-mean,1114,0.776397
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,1114,0.781549
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,SPLIT-thought,1114,0.600116
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,SPLIT-action,1114,0.543919
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-mean,1114,0.535679
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,1114,0.695567
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,SPLIT-thought,1658,0.795572
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,SPLIT-action,1658,0.922097
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-mean,1658,0.890194
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,1658,0.891024
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,SPLIT-thought,1658,0.601104
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,SPLIT-action,1658,0.749396
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-mean,1658,0.671324
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,1658,0.721518
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,SPLIT-thought,1658,0.602125
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,SPLIT-action,1658,0.600023
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-mean,1658,0.601896
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,1658,0.583184
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,SPLIT-thought,1658,0.808238
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,SPLIT-action,1658,0.904679
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-mean,1658,0.879574
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,1658,0.895018
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,SPLIT-thought,1658,0.623005
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,SPLIT-action,1658,0.601983
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,AGG-mean,1658,0.577321
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,1658,0.740195
