num_id,description,value,ci,labels,construct,claim_id,section,source_path,source_sha,notes
AD-02,Llama under-flag worst cell,flags 7% at a 15% error rate; bal_acc 0.614,,L1,ensemble,C-adaptivity,S6_instrument,reports/report_gate2_score_vs_verdict.md,3df35c4e7fa7b5708dcc724b98d944d438c692de75de73629860c9c6b552d5ff,§2
AD-03,verdict flag-rate bias per capable judge,Llama-70B -0.013; Qwen-35B +0.121 (over-flags everywhere),,L1,ensemble,C-adaptivity,S6_instrument,reports/report_gate2_score_vs_verdict.md,3df35c4e7fa7b5708dcc724b98d944d438c692de75de73629860c9c6b552d5ff,§2
AD-04,weak-judge verdict collapse,verdicts <= majority-class in 9-11/11 cells (Mistral 11/11; gemma 10/11; Phi 9/11); scores remain recoverable +0.02..+0.11 via a cut,,L1,ensemble,C-adaptivity,S6_instrument,reports/report_gate2_score_vs_verdict.md,3df35c4e7fa7b5708dcc724b98d944d438c692de75de73629860c9c6b552d5ff,§2: binary channel more capability-gated than score channel
TR-01,capable-tier assessors beat the tier below,+0.2820; capable mean 0.8871 (n=18) vs non-capable 0.6050 (n=27),"[0.2353, 0.3293]",L2,violation+judgment,C-tier,S6_instrument,tables_bundle/ci_registry_final.csv,1c79257bf39108514462da2a284a2c83e8ec613cd9e146de5a0cae2043a11d2a,unpaired cell bootstrap
TR-02,mid score vs large verdict with ~200 labels,11/11 cells (Qwen-35B fitted vs Llama-70B verdict),,L1,ensemble,C-tier,S6_instrument,reports/report_gate2_score_vs_verdict.md,3df35c4e7fa7b5708dcc724b98d944d438c692de75de73629860c9c6b552d5ff,§3 per-cell table
TR-03,mid score vs large verdict label-free (g-rule),8/11 overall; 8/9 in cross-judging cells; both real losses are Qwen self-cells; third is -0.001,,L1,ensemble,C-tier,S6_instrument,reports/report_gate2_score_vs_verdict.md,3df35c4e7fa7b5708dcc724b98d944d438c692de75de73629860c9c6b552d5ff,§3
TR-04,deepseek self-vs-external anecdote,external mid-size g-rule 0.800 vs deepseek self-reading at own cut ~0.72-0.76,,L1,ensemble,C-tier,S6_instrument,reports/report_gate2_score_vs_verdict.md,3df35c4e7fa7b5708dcc724b98d944d438c692de75de73629860c9c6b552d5ff,one cell; ALFWorld only; existence proof not pattern
FR-01,frontier vs capable open judges (primary),mean delta -0.0209 over 22 cells; gpt-4o wins 8/22; CI excludes 0 in 4,per-cell CIs in table,L2,violation+judgment,C-frontier,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,paired on identical steps; episode-clustered bootstrap; per-cell in tables_S5/S5_frontier_vs_open.csv
FR-02,frontier vs capable (judgment),-0.0264; wins 8/22; CI excludes 0 in 3,per-cell CIs in table,L2,judgment,C-frontierasym,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,
FR-03,frontier vs capable (violation),-0.0374; wins 5/22; CI excludes 0 in 1,per-cell CIs in table,L2,violation,C-frontierasym,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,
FR-04,frontier vs capable (outcome),-0.0643; wins 3/22; CI excludes 0 in 1,per-cell CIs in table,L2,outcome,C-frontierasym,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,
FR-05,frontier vs capable (y_env),-0.0610; wins 2/22; CI excludes 0 in 0,per-cell CIs in table,L2,y_env,C-frontierasym,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,
FR-06,frontier vs ALL open judges,violation+judgment +0.1473 (42/56 wins; 38 CI excl 0); judgment +0.1469; violation +0.0469; outcome -0.0153; y_env -0.0048,per-cell CIs in table,L2,all,C-frontier,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,
FR-08,framing sensitivity (trust vs decision),verdict agreement 91.4% over 740 shared steps; mean |dU| 0.0901,,—,—,C-frontier,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,decision framing is sensitivity check not primary
FR-09,b3 sample and deviations,5404 trust records analysed (every scored step; frozen-sample guarantee did not hold); 1188 records predate the framing field; dropping them moves primary delta -0.0209 -> -0.0182; parse rates 99.9%/99.6%; 0 errors,,L2,all,C-frontier,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,deviations recorded not smoothed (debt 12)
FR-10,b3 pilot measurement,50 calls; 100.0% top-1 Yes/No; 1171 input tokens/call; 1 output token (max_tokens=1),,—,—,C-frontier,S9_appendix,S5_BUDGET_MEASURED.md,83f8a9580d66eaf94b0bcf5e11b8924d5cc5951d8fbce35807a154332e548a19,pilot's $2.95/1k estimate superseded by CO-03 receipt
CO-01,online assessment throughput,3300 assessments / 5 min / A100; verified: false,,—,—,C-cost,S6_instrument,runs/manifest.json,20d4f23f63553350ad38c9dc0ef8db53c4d13bb4298f81f13b815072e465ac8e,ONLINE-length prompts ~330 tok; do NOT size hindsight-length work with this
CO-02,hindsight-length throughput (measured),375 assessments / 5 min / A100; verified: true; mean prompt 6957 tokens; max 35448,,—,—,C-cost,S9_appendix,runs/manifest.json,20d4f23f63553350ad38c9dc0ef8db53c4d13bb4298f81f13b815072e465ac8e,measured 2026-08-06 on real hindsight prompts; judge Qwen3.6-35B-A3B
CO-03,frontier judge cost per 1k steps (receipt),"$7.60 per 1,000 steps (gpt-4o; measured from the b3 receipt)",,—,—,C-cost,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,supersedes the earlier ~$2.40/1k estimate at assumed list pricing
CO-04,self-hosted capable judge cost per 1k steps,~$0.05-0.10 per 1k steps at market A100 rates on the measured 3300/5min throughput,,—,—,C-cost,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,
CO-05,frontier vs self-hosted cost ratio,75-150x against the frontier judge which is also less accurate on this task,,—,—,C-cost,S6_instrument,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,
CO-06,volume sentence,"1M steps/day ~= $7,600 API vs ~8.5 A100-hours self-hosted",,—,—,C-cost,S6_instrument,FINAL_BUNDLE/WORDING_DEBTS.md,b7a9a92c68671c159229c210b0937ae8c7984490fe6606a9e031a1d916277f11,debt 18 wording; prefill+1-token / KV-sharing basis to be stated
CO-07,b3 arm total spend,"~$60 for 7,879 calls; ~$22 wasted on the sample-file defect; the work itself needed ~4,950 calls",,—,—,C-cost,S9_appendix,S5_SUMMARY.md,2c2683874d7612591c1a9f02ed6c4f54956cac37f8c98ba884c7913f99d61391,
LT-01,200-label tier (primary),0.8083 mean BA over 22 cells,"[0.7858, 0.8292]",L2,violation+judgment,C-200label,S7_deployment,tables_bundle/label_source_menu.csv,1ec3c864a3e780a41870c8f1e4dabec3dbab67d20810712a5726a6b373b6ed15,~200 labelled episodes on the target; one labelling round
LT-02,200-label tier (judgment),0.8162,"[0.7940, 0.8342]",L2,judgment,C-200label,S7_deployment,tables_bundle/label_source_menu.csv,1ec3c864a3e780a41870c8f1e4dabec3dbab67d20810712a5726a6b373b6ed15,
LT-03,200-label tier (violation),0.8173,"[0.7755, 0.8607]",L2,violation,C-200label,S7_deployment,tables_bundle/label_source_menu.csv,1ec3c864a3e780a41870c8f1e4dabec3dbab67d20810712a5726a6b373b6ed15,
LT-04,200-label tier (outcome),0.7175,"[0.6767, 0.7621]",L2,outcome,C-200label,S7_deployment,tables_bundle/label_source_menu.csv,1ec3c864a3e780a41870c8f1e4dabec3dbab67d20810712a5726a6b373b6ed15,
LT-05,200-label tier (y_env),0.7422,"[0.7059, 0.7798]",L2,y_env,C-200label,S7_deployment,tables_bundle/label_source_menu.csv,1ec3c864a3e780a41870c8f1e4dabec3dbab67d20810712a5726a6b373b6ed15,
LT-06,local calibration saturation,saturates at ~200 labeled steps (96-99.9% retention),,L1,ensemble,C-200label,S7_deployment,docs/paper_proposal_v4.md,b9be6206f26385b614dea9cd187680b5ae418586f0ab5ff6c96c5062ff9e4243,§6 cost properties; retention curve basis; underlying curve data not located — see 06_GAPS
DO-01,day-one violation-calibrated cut (primary),0.8012 mean BA over 22 cells; 0 human labels,"[0.7776, 0.8212]",L2,violation+judgment,C-daylone,S7_deployment,tables_bundle/label_source_menu.csv,1ec3c864a3e780a41870c8f1e4dabec3dbab67d20810712a5726a6b373b6ed15,environment emits calibration labels automatically
DO-02,day-one outcome-construct collapse,0.6717,"[0.6346, 0.7101]",L2,outcome,C-daylone,S7_deployment,tables_bundle/label_source_menu.csv,1ec3c864a3e780a41870c8f1e4dabec3dbab67d20810712a5726a6b373b6ed15,shown beside DO-01 per debt 6
DO-03,violation-calibrated pass-rate (gate-3 arm 2),19/22 (0.8636),"[0.7273, 1.0000]",L2,violation+judgment,C-daylone,S7_deployment,tables_bundle/ci_registry_final.csv,1c79257bf39108514462da2a284a2c83e8ec613cd9e146de5a0cae2043a11d2a,PASS marginal; soften (CI spans 0.80 bar)
DO-04,violation-calibrated pooled capture (arm 2),0.9685,"[0.8822, 1.0318]",L2,violation+judgment,C-daylone,S7_deployment,tables_bundle/ci_registry_final.csv,1c79257bf39108514462da2a284a2c83e8ec613cd9e146de5a0cae2043a11d2a,clear of 0.5 null
LT-07,steady-state h menu row (primary),0.7986; 0 labels on the target,"[0.7719, 0.8228]",L2,violation+judgment,C-h-withingate,S7_deployment,tables_bundle/label_source_menu.csv,1ec3c864a3e780a41870c8f1e4dabec3dbab67d20810712a5726a6b373b6ed15,referenced BENEATH the menu per debt 6; within-gate scope only
HA-01,A28 fixed-percentile (L1),"capable: P-quantile 15/22 (68%) CI [50%,86%]; capture 0.552 [0.364,0.718] -> G2b-R3 FAIL. all judges: 44/55 (80%) CI [69%,89%]; capture 0.775 [0.636,0.904] -> G2b-R1 PASS",in value,L1,ensemble,N-fixedpct,S7_deployment,reports/gate2/GATE2B_SUMMARY.md,265d53a22d332ef74c9d55a2a694ef51395d3e80111d8f71ef10fd249bf38bf1,
HA-02,A28 fixed-percentile (L2 primary),12/22 (55%); capture 0.310 -> G2b-R3 FAIL,,L2,violation+judgment,N-fixedpct,S7_deployment,S1_SUMMARY.md,54da8dbb666998533fad414c56f2967e0d2ae817aa652912e900f4c2a4af6188,S1d table; pass of record
HA-03,A28.1 g-rule (L1),"P-g2 18/22 (82%) CI [64%,95%]; pooled capture 0.555 CI [0.084, 0.844] -> G2b1-R1 PASS (marginal)",in value,L1,ensemble,N-grule,S7_deployment,reports/gate2/GATE2B1_SUMMARY.md,d65391feb59f2cb0d6c18408af5e5ff308326642aa433e5e1b7306f9169a3f5d,"CONFLICT: S2 registry gives capture CI [0.0970, 0.8471] for the same quantity — both recorded; see 06_GAPS"
HA-04,A28.1 g-rule (L2 primary),P-g2 17/22 (0.7727); capture 0.4550 -> G2b1-R3 FAIL,"P-g2 [0.6364, 0.9545]; capture [0.0970, 0.8471] (L1-era intervals; point estimates are L2)",L2,violation+judgment,N-grule,S7_deployment,tables_bundle/ci_registry_final.csv,1c79257bf39108514462da2a284a2c83e8ec613cd9e146de5a0cae2043a11d2a,pass of record; interval provenance stated in registry note column
HA-05,GATE-3 h-rule (arm 0),"pass-rate 20/22 (0.9091) CI [0.7727, 1.0000]; pooled capture 0.9394 CI [0.7964, 1.0408] -> PASS",in value,L2,violation+judgment,C-h-withingate,S7_deployment,tables_bundle/ci_registry_final.csv,1c79257bf39108514462da2a284a2c83e8ec613cd9e146de5a0cae2043a11d2a,pass-rate flagged soften (CI spans 0.80); GATE3_SUMMARY rounds to 91% / 0.940 [0.80 1.04]
HA-06,GATE-3 h-rule across constructs,judgment PASS 19/22 cap 0.95; violation FAIL 16/22 cap 0.84; outcome PASS 18/22 cap 0.96; y_env PASS 20/22 cap 1.00,,L2,all,C-h-withingate,S7_deployment,GATE3_SUMMARY.md,8b58d0b42c616f1031e4b55f7fbc9248e38b9b7af23ed0e03dd77e9e6a796d69,primary decides; violation-only column fails
HA-07,GATE-3 mixture cut (arm 1),"8/22 (36%) CI [0.18, 0.55]; capture -0.180 CI [-0.98, 0.43]; 4 abstentions counted as losses -> FAIL",in value,L2,violation+judgment,N-mixture,S7_deployment,GATE3_SUMMARY.md,8b58d0b42c616f1031e4b55f7fbc9248e38b9b7af23ed0e03dd77e9e6a796d69,degenerate EM abstentions per spec §3.4
HA-08,GATE-4 Part A predictions (primary),P-A1 6/8 vs bar >=8/10 (fails strict and proportional); P-A2 6/8 vs >=7/10 (passes proportionally 75%>70%; fails strict); P-A3 pooled capture 0.750 vs >=0.5 (passes) -> VERDICT FAIL,,L2,violation+judgment,C-h-forecast,S7_deployment,GATE4_SUMMARY.md,02b221d78b44ba3af37315f9c2614612e8b325432e42a3e7caf95207f637d640,evaluated variant is h-noself (registered A34.1); see HA-15
HA-09,GATE-4 Qwen3.6 loss margins,loses to V twice: 0.702 vs 0.712 (alfworld/Qwen3.5-9B; -0.010) and 0.836 vs 0.837 (hotpotqa/Qwen3.5-4B; -0.001),,L2,violation+judgment,C-h-forecast,S7_deployment,GATE4_SUMMARY.md,02b221d78b44ba3af37315f9c2614612e8b325432e42a3e7caf95207f637d640,narrow but losses; they take P-A1 below its bar
HA-10,27B extrapolation cell,pi-hat misses pi* by 31-55 percentile points on environment constructs; Llama cut still beats V; Qwen3.6 cut does not,,L2,"violation, outcome, y_env",C-h-forecast,S7_deployment,GATE4_SUMMARY.md,02b221d78b44ba3af37315f9c2614612e8b325432e42a3e7caf95207f637d640,reported separately per spec §A.5; strongest interpolation-only scope evidence
HA-11,GATE-4 unevaluable cells,"2 of 10 (alfworld/Qwen3.5-27B, both judges): 3-judge ensemble never ran on that arm; judgment has zero labels; composite collapses to 763 positives 0 negatives",,L2,violation+judgment,C-h-forecast,S7_deployment,GATE4_SUMMARY.md,02b221d78b44ba3af37315f9c2614612e8b325432e42a3e7caf95207f637d640,
HA-12,A28.1 arm means (capable; L1),"V 0.727 [0.701,0.755]; S-LOTO-quantile 0.752 [0.733,0.770]; S-g-quantile 0.753 [0.725,0.780]; S-oracle-pct 0.757 [0.734,0.780]; S-fitted 0.775 [0.757,0.792]",in value,L1,ensemble,N-grule,S7_deployment,reports/gate2/GATE2B1_SUMMARY.md,d65391feb59f2cb0d6c18408af5e5ff308326642aa433e5e1b7306f9169a3f5d,the ladder V < transferred < indexed < oracle < fitted
HA-13,GATE-4 Part A other constructs,P-A1: judgment 6/8 capture 0.782; violation 7/10 capture 0.472; outcome 7/10 0.328; y_env 7/10 0.321,,L2,all,C-h-forecast,S7_deployment,GATE4_SUMMARY.md,02b221d78b44ba3af37315f9c2614612e8b325432e42a3e7caf95207f637d640,P-A2 NOT reported for non-primary constructs (artefact of cross-construct comparison)
HA-14,GATE-4 forecast lock,lock commit 5a4938fd841a823c1023e10c7383fe20fde9cec8; forecasts_A34.csv sha256 69b926a0a70608ed77d24515d3421645c59f016c3ac168535a4674cf2091156c; 20 forecasts sealed (10 cells x 2 variants); lock timestamp 2026-08-10T09:12:40+09:00,,—,—,C-h-forecast,S9_appendix,GATE4_SUMMARY.md,02b221d78b44ba3af37315f9c2614612e8b325432e42a3e7caf95207f637d640,seal computed by a code path never handed a label file
HA-15,GATE-4 seal defect (h-noself),both sealed variants are h-noself: crossprobe pipeline skips the diagonal so the judge's own cell was never present; GATE-3's h DID include self-cells; the h-primary forecast was never sealed and cannot be sealed post-outcome,,—,—,C-h-forecast,S9_appendix,GATE4_SUMMARY.md,02b221d78b44ba3af37315f9c2614612e8b325432e42a3e7caf95207f637d640,verbatim disclosure (debt 11)
ME-01,flatness budget,median flat-region width 16 percentile points (min 10); a cut within ~±8 points of optimum loses <=0.01 BA; required estimate accuracy |p-hat - p| ~ 0.05-0.08,,L1,ensemble,C-invariance,S8_mechanism_and_limits,reports/report_online_labelfree_rule.md,c382a917b5fc2537f6d61f24e82604c1dd8a7df228fc49e04cebe93fbf16abc9,§4 per-cell anatomy; curves in figures/figures_gate2b1/flatness_curves_AGG-true.csv
ME-02,Part B conditional invariance ratios,alfworld/Llama 6.375/7.880 = 0.809 (no); alfworld/Qwen 1.239/3.404 = 0.364 (no); hotpotqa/Llama 1.850/11.410 = 0.162 (yes); hotpotqa/Qwen 0.585/3.869 = 0.151 (yes),,L2,violation+judgment,C-invariance,S8_mechanism_and_limits,tables_gate4/B_invariance_verdict.csv,fd60062336a7682223ee510cd3748f240a6cd66dffec245358a817c269bbffda,criterion: within-median < 1/3 class separation; self-cells excluded
ME-03,Part C fit stability,max jackknife swings 3.4 / 11.7 / 1.2 / 1.0 pts (alf-Llama / alf-Qwen / hot-Llama / hot-Qwen); slopes -0.494 / -0.620 / -0.614 / -0.522; slope CI widths 0.240 / 0.991 / 0.207 / 0.180; 3 of 4 stable; unstable fit's leverage target is Qwen3.6's own self-cell,,L2,violation+judgment,C-stability,S8_mechanism_and_limits,GATE4_BCD_PARTIAL.md,8bafe1aba219af2ea65c209640d7b2f8ad77de38a2d3e6d64ef1699e2766ed1d,per-fit CSV tables_gate4/C_fit_stability.csv; ±8-point budget
ME-04,Part D cross-environment h,mean -0.0024 BA over 22 cells; min -0.012 max +0.017; CI includes zero -> no-claim,"[-0.0047, 0.0001]",L2,violation+judgment,C-crossenv,S8_mechanism_and_limits,tables_bundle/ci_registry_final.csv,1c79257bf39108514462da2a284a2c83e8ec613cd9e146de5a0cae2043a11d2a,no success criterion; per-cell in tables_gate4/D_cross_env_h.csv
ME-05,raw-cut cross-environment transfer,hotpotqa->alfworld negative for all 5 assessors (-0.035 to -0.103); alfworld->hotpotqa positive for 4 of 5 (+0.010 to +0.027); Mistral -0.047,,L1,ensemble,C-crossenv,S8_mechanism_and_limits,reports/gate2/GATE2B1_SUMMARY.md,d65391feb59f2cb0d6c18408af5e5ff308326642aa433e5e1b7306f9169a3f5d,cross-dataset probe (secondary); direction-asymmetric
ME-06,mean-U tracks target error rate,r = +0.990 (Llama alfworld); +0.998 (Llama hotpotqa); +0.960/+0.972 (Qwen),,L1,ensemble,C-invariance,S8_mechanism_and_limits,reports/OPERATING_POINT_REPORT.md,7d36264e08315a205cc60b5dde1123ca3faf396749efe029b9d2cf6c032e9994,§3; the label-free competence estimate's basis
ME-07,optimal cut percentile vs error rate,Llama +0.958; Qwen +0.944; gemma +0.839; Mistral +0.532; Phi +0.400,,L1,ensemble,C-invariance,S8_mechanism_and_limits,reports/OPERATING_POINT_REPORT.md,7d36264e08315a205cc60b5dde1123ca3faf396749efe029b9d2cf6c032e9994,§3
ME-08,indexing-identity violation,optimal percentiles deviate from 100*(1-p) by up to ~26 points; oracle-pct also loses on 2 of 4 failing cells,,L1,ensemble,N-grule,S8_mechanism_and_limits,reports/report_online_labelfree_rule.md,c382a917b5fc2537f6d61f24e82604c1dd8a7df228fc49e04cebe93fbf16abc9,§5; proves defect is the identity not the estimate
ME-09,normalized separation f per judge (pivot),Llama-70B 0.876 (0.78-0.98); Qwen-35B 0.842 (0.54-0.97); Mistral 0.484 (0.27-0.71); gemma 0.323 (0.05-0.52); Phi 0.259 (-0.08-0.57),,L1,ensemble,C1-selfceiling,S6_instrument,reports/OPERATING_POINT_REPORT.md,7d36264e08315a205cc60b5dde1123ca3faf396749efe029b9d2cf6c032e9994,§5; uniformity is capability-gated; weak judges erratic not merely weaker
LB-01,gate-1 R1 floors,FAIL: lowest capable-judge f 0.669 (Llama-70B) vs 0.70 floor; ordering inverted (Qwen 0.752 > Llama 0.669); ranges 0.34-1.00 / 0.40-1.00,,L2,y_env,C4-corpus,S9_appendix,reports/gate1/GATE1_SUMMARY.md,8a43f785ff421f2268efaaacf9f4dff603153147b89ec9b99e6012721802529a,scope SPLIT-action restricted mode
LB-02,gate-1 R2 g-fit,PASS: weakest capable-judge |r| 0.948 vs 0.85 floor (alf/Llama 0.948; alf/Qwen 0.987; hot/Llama 0.976; hot/Qwen 0.987),,L2,y_env,C4-corpus,S9_appendix,reports/gate1/GATE1_SUMMARY.md,8a43f785ff421f2268efaaacf9f4dff603153147b89ec9b99e6012721802529a,
LB-03,gate-1 R3 crossprobe movement,FLAG: 161 of 240 comparable cells move > 0.05 AUROC; largest move -0.476 (hotpotqa/Qwen3.6/gemma/SPLIT-action),,L1 vs L2,ensemble vs y_env,C4-corpus,S9_appendix,reports/gate1/GATE1_SUMMARY.md,8a43f785ff421f2268efaaacf9f4dff603153147b89ec9b99e6012721802529a,
LB-04,gate-1 R4 circularity audit,matrix arms: 9.1% (2233/24631) of Tier-A-incorrect steps called correct; 2.0% (410/20521) ex-A4; all arms 10.6% (3174/29998); soft fractions 0.139 / 0.164,,—,—,C4-corpus,S3_problem_setup,reports/gate1/report_phase2_ensemble_audit.md,3eea1cbc7515a6bf978efa74ca70770e0caf4100c29c51b32557b148aca6354e,floor on ensemble error not an estimate; measured where ground truth certain
LB-05,A4 divergence,A4_zero_result: 31.5% (1823/5785) called correct — the only sub-rule where env verdict and step-quality verdict legitimately diverge,,—,—,C4-corpus,S3_problem_setup,reports/gate1/report_phase2_ensemble_audit.md,3eea1cbc7515a6bf978efa74ca70770e0caf4100c29c51b32557b148aca6354e,
