dataset,target,assessor,arm,scope,n,n_ep,verdict,value_in,value_out,optimism,gain_out
alfworld,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,6482,140,0.6937,0.7834,0.7798,0.0035,0.0862
alfworld,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,6604,140,0.6421,0.7528,0.7484,0.0044,0.1064
alfworld,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,3197,140,0.6230,0.6545,0.6637,-0.0091,0.0406
alfworld,deepseek-v4-flash,Qwen3.6-35B-A3B,cross,AGG-true,3304,120,0.8004,0.8055,0.7716,0.0339,-0.0288
alfworld,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,6790,140,0.7068,0.8147,0.8114,0.0032,0.1046
alfworld,deepseek-v4-flash,deepseek-v4-flash,self,AGG-true,2322,90,0.6611,0.6856,0.6909,-0.0053,0.0298
alfworld,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,4765,140,0.4724,0.5495,0.5356,0.0139,0.0633
alfworld,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,6482,140,0.4234,0.5507,0.5486,0.0021,0.1252
alfworld,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,6604,140,0.4417,0.5458,0.5437,0.0021,0.1020
alfworld,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,3197,140,0.5012,0.5853,0.5791,0.0062,0.0778
alfworld,deepseek-v4-flash,gemma-3-4b-it,cross,AGG-true,3304,120,0.4880,0.5396,0.5123,0.0273,0.0243
alfworld,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,6790,140,0.4191,0.5928,0.5813,0.0115,0.1622
hotpotqa,Llama-3.3-70B-Instruct,Llama-3.3-70B-Instruct,self,AGG-true,2530,500,0.6899,0.7692,0.7615,0.0077,0.0716
hotpotqa,Mistral-7B-Instruct-v0.3,Llama-3.3-70B-Instruct,cross,AGG-true,3224,500,0.7694,0.7752,0.7718,0.0034,0.0023
hotpotqa,Phi-4-mini-instruct,Llama-3.3-70B-Instruct,cross,AGG-true,2716,500,0.8275,0.8347,0.8229,0.0118,-0.0046
hotpotqa,Qwen3.6-35B-A3B,Llama-3.3-70B-Instruct,cross,AGG-true,2192,500,0.6139,0.7741,0.7577,0.0164,0.1438
hotpotqa,gemma-3-4b-it,Llama-3.3-70B-Instruct,cross,AGG-true,2565,500,0.8318,0.8353,0.8307,0.0046,-0.0011
hotpotqa,Llama-3.3-70B-Instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,2530,500,0.5000,0.6446,0.6411,0.0034,0.1411
hotpotqa,Mistral-7B-Instruct-v0.3,Mistral-7B-Instruct-v0.3,self,AGG-true,3224,500,0.5014,0.6374,0.6349,0.0026,0.1335
hotpotqa,Phi-4-mini-instruct,Mistral-7B-Instruct-v0.3,cross,AGG-true,2716,500,0.5061,0.6449,0.6326,0.0123,0.1265
hotpotqa,Qwen3.6-35B-A3B,Mistral-7B-Instruct-v0.3,cross,AGG-true,2192,500,0.5000,0.7143,0.7005,0.0138,0.2005
hotpotqa,gemma-3-4b-it,Mistral-7B-Instruct-v0.3,cross,AGG-true,2565,500,0.5000,0.6622,0.6545,0.0077,0.1545
hotpotqa,Llama-3.3-70B-Instruct,Phi-4-mini-instruct,cross,AGG-true,2530,500,0.5477,0.6524,0.6476,0.0048,0.1000
hotpotqa,Mistral-7B-Instruct-v0.3,Phi-4-mini-instruct,cross,AGG-true,3224,500,0.5096,0.5284,0.5145,0.0139,0.0049
hotpotqa,Phi-4-mini-instruct,Phi-4-mini-instruct,self,AGG-true,2716,500,0.5141,0.5480,0.5308,0.0171,0.0167
hotpotqa,Qwen3.6-35B-A3B,Phi-4-mini-instruct,cross,AGG-true,2192,500,0.5077,0.5959,0.5619,0.0340,0.0541
hotpotqa,gemma-3-4b-it,Phi-4-mini-instruct,cross,AGG-true,2565,500,0.5173,0.5704,0.5625,0.0079,0.0452
hotpotqa,Qwen3.5-4B,Qwen3.5-4B,self,AGG-true,2371,500,0.7198,0.7466,0.7403,0.0064,0.0204
hotpotqa,Qwen3.5-9B,Qwen3.5-9B,self,AGG-true,2286,498,0.6114,0.7590,0.7414,0.0176,0.1300
hotpotqa,Llama-3.3-70B-Instruct,Qwen3.6-35B-A3B,cross,AGG-true,2530,500,0.7595,0.7637,0.7609,0.0028,0.0015
hotpotqa,Mistral-7B-Instruct-v0.3,Qwen3.6-35B-A3B,cross,AGG-true,3224,500,0.7170,0.7743,0.7709,0.0034,0.0539
hotpotqa,Phi-4-mini-instruct,Qwen3.6-35B-A3B,cross,AGG-true,2716,500,0.7986,0.8393,0.8355,0.0038,0.0369
hotpotqa,Qwen3.6-35B-A3B,Qwen3.6-35B-A3B,self,AGG-true,2192,500,0.7510,0.7976,0.7898,0.0078,0.0388
hotpotqa,gemma-3-4b-it,Qwen3.6-35B-A3B,cross,AGG-true,2565,500,0.8247,0.8468,0.8429,0.0039,0.0182
hotpotqa,Llama-3.3-70B-Instruct,gemma-3-4b-it,cross,AGG-true,2530,500,0.5116,0.6173,0.6034,0.0139,0.0918
hotpotqa,Mistral-7B-Instruct-v0.3,gemma-3-4b-it,cross,AGG-true,3224,500,0.5068,0.6214,0.6152,0.0062,0.1084
hotpotqa,Phi-4-mini-instruct,gemma-3-4b-it,cross,AGG-true,2716,500,0.5331,0.6609,0.6554,0.0055,0.1222
hotpotqa,Qwen3.6-35B-A3B,gemma-3-4b-it,cross,AGG-true,2192,500,0.5065,0.6537,0.6330,0.0207,0.1265
hotpotqa,gemma-3-4b-it,gemma-3-4b-it,self,AGG-true,2565,500,0.5058,0.6811,0.6736,0.0075,0.1678
